symbol,entry_time,exit_time,avg_entry_price,exit_price,quantity,exit_reason,net_pnl,return_pct,duration_hours,entry_count,total_invested,breakeven_triggered,rule,gross_pnl,total_commission,entry_commission,exit_commission
MYXUSDT,,,10.986981000000000,10.989178000000001,127.42354300000000,breakeven_sl,-1.2601540000000000,-0.09001099999999999,0.5,7,1400.0,True,Rule 8,,,,
STBLUSDT,,,0.49348,0.493579000,405.2849150000000,breakeven_sl,-0.18002199999999999,-0.09001099999999999,0.0,1,200.0,True,Rule 8,,,,
MYXUSDT,,,10.878040000000000,10.007797000000000,55.15699400000000,stop_loss,-48.6336,-8.1056,0.16666700000000001,3,600.0,False,Rule 6,,,,
SKATEUSDT,,,0.049378999999999999,0.04673,48603.908033000000,negative_pnl_8h,-131.3085710000000,-5.471190000000000,0.9166670000000000,12,2400.0,False,Rule 6,,,,
XPLUSDT,,,0.8390850000000000,0.7719580000000000,1191.775072000000,stop_loss,-81.05600000000000,-8.105600000000001,0.3333330000000000,5,1000.0,False,Rule 6,,,,
XPLUSDT,,,0.8853730000000000,0.8855499999999999,1581.2539159999999,breakeven_sl,-1.2601540000000000,-0.09001099999999999,0.75,7,1400.0,True,Rule 8,,,,
STBLUSDT,,,0.46793,0.43049599999999999,427.41435700000000,stop_loss,-16.21120000000000,-8.105600000000001,0.0,1,200.0,False,Rule 8,,,,
XPLUSDT,,,1.0290830000000000,1.19132,4275.65105300000,take_profit,688.4470950000000,15.646525000000000,4.75,22,4400.0,True,Rule 8,,,,
STBLUSDT,,,0.4746900000000000,0.4747850000000000,4213.2734380000002,breakeven_sl,-1.8002199999999999,-0.09001099999999999,2.25,10,2000.0,True,Rule 8,,,,
ASTERUSDT,,,1.989949000000000,1.8307530000000001,201.01015500000000,stop_loss,-32.422400000000003,-8.105600000000001,0.08333300000000000,2,400.0,False,Rule 8,,,,
XPLUSDT,,,1.3187130000000000,1.3189759999999999,2578.2723050000000,breakeven_sl,-3.060374000000000,-0.09001099999999999,2.5,17,3400.0,True,Rule 6,,,,
WUSDT,,,0.10517,0.10422,1901.6829889999999,negative_pnl_8h,-2.0256050000000001,-1.0128029999999999,0.0,1,200.0,False,Rule 8,,,,
BLESSUSDT,,,0.046227000000000,0.04452,8653.027065000000,negative_pnl_8h,-15.199113000000001,-3.799778000000000,5.583333000000000,2,400.0,False,Rule 8,,,,
0GUSDT,,,4.260825000000000,3.9199590000000000,234.69631699999999,stop_loss,-81.056,-8.1056,0.3333330000000000,5,1000.0,False,Rule 8,,,,
XPLUSDT,,,1.3454410000000001,1.2378060000000000,1337.8512519999999,stop_loss,-145.9008,-8.1056,0.9166670000000000,9,1800.0,False,Rule 8,,,,
AIAUSDT,,,0.30859900000000001,0.28391100000000002,3888.5394560000000,stop_loss,-97.26720000000000,-8.105600000000001,7.583333000000000,6,1200.0,False,Rule 8,,,,
XPLUSDT,,,1.2872,1.184224,155.37601000000001,stop_loss,-16.21120000000000,-8.105600000000001,0.0,1,200.0,False,Rule 8,,,,
SKATEUSDT,,,0.05735500000000000,0.05276700000000000,41844.417077999999,stop_loss,-194.5344,-8.1056,0.9166670000000000,12,2400.0,False,Rule 6,,,,
STBLUSDT,,,0.47385,0.435942,422.07449600000001,stop_loss,-16.211200000000002,-8.105600000000001,0.0,1,200.0,False,Rule 8,,,,
AIAUSDT,,,0.312425000000000,0.2874310000000000,6401.538325000000,stop_loss,-162.11199999999999,-8.105600000000001,0.75,10,2000.0,False,Rule 8,,,,
1000RATSUSDT,,,0.024790000000000000,0.02742,32271.697648000001,time_limit_72h,83.96326000000001,10.495407999999999,0.3333330000000000,4,800.0,True,Rule 8,,,,
SNXUSDT,,,0.9962940000000000,1.1453,3613.391886000000,take_profit,534.1615970000000,14.83782200000000,8.75,18,3600.0,True,Rule 8,,,,
1000RATSUSDT,,,0.02967,0.0272960,6740.815639000000,stop_loss,-16.211200000000002,-8.105600000000001,0.0,1,200.0,False,Rule 6,,,,
XPLUSDT,,,1.3427690000000001,1.2353479999999999,446.8377270000000,stop_loss,-48.6336,-8.1056,0.16666700000000001,3,600.0,False,Rule 8,,,,
SKATEUSDT,,,0.06028200000000000,0.05866,46448.05650300000,negative_pnl_8h,-78.39555900000001,-2.799841000000000,3.5,14,2800.0,False,Rule 6,,,,
